date,open,high,low,close,volume,prior_252_high,breakout_close_ge,vol_sma20,volume_ok,atr14_sma,atr14_wilder,nifty_close,market_ok,labs_buy_signal
2025-03-03,2485.0,2540.95,2390.05,2520.1,125530.0,3088.0,0,823102.3,0,162.34642857142853,134.56174149322513,19896.95,False,0
2025-03-04,2501.0,2675.0,2482.15,2647.55,287521.0,3088.0,0,832002.5,0,167.95357142857137,138.72518852942332,19917.85,False,0
2025-03-05,2660.75,2777.0,2631.0,2693.3,432828.0,3088.0,0,846768.7,0,173.28571428571422,139.2448179201788,20256.5,False,0
2025-03-06,2689.05,2745.9,2675.2,2690.2,219351.0,3088.0,0,803404.85,0,172.73214285714283,134.34875949730892,20447.1,False,0
2025-03-07,2690.2,2780.0,2690.2,2751.6,202498.0,3088.0,0,690262.5,0,173.41071428571425,131.16670524750114,20443.4,False,0
2025-03-10,2748.0,2798.2,2650.1,2660.8,142096.0,3088.0,0,674267.8,0,155.16071428571425,132.37622630125105,20266.5,False,0
2025-03-11,2660.0,2675.0,2605.45,2656.45,146136.0,3088.0,0,677205.95,0,128.34642857142856,127.88863870830457,20302.5,False,0
2025-03-12,2674.45,2744.45,2654.75,2683.1,228177.0,3088.0,0,683867.6,0,126.20357142857142,125.16087880056851,20264.35,False,0
2025-03-13,2690.0,2695.1,2640.05,2657.8,62016.0,3088.0,0,680920.1,0,121.3285714285714,120.15295888624216,20176.05,False,0
2025-03-17,2657.8,2730.0,2650.0,2693.45,100554.0,3088.0,0,680820.7,0,119.89999999999996,117.28489039436772,20288.3,False,0
2025-03-18,2693.45,2810.95,2677.2,2795.15,161525.0,3088.0,0,682154.85,0,113.23928571428567,118.46096965191289,20657.2,False,0
2025-03-19,2799.95,2845.0,2767.8,2838.3,127582.0,3088.0,0,533131.75,0,111.74285714285709,115.5137575339191,20864.5,False,0
2025-03-20,2850.0,2921.2,2832.05,2860.5,143779.0,3088.0,0,301942.45,0,111.32857142857135,113.630631995782,21070.05,True,0
2025-03-21,2861.0,2968.9,2839.35,2935.65,178487.0,3088.0,0,260951.15,0,108.73571428571424,114.76772971036901,21273.9,True,0
2025-03-24,2959.0,2988.0,2860.8,2882.95,66538.0,3088.0,0,234665.05,0,107.0428571428571,115.65574901677121,21538.1,True,0
2025-03-25,2877.0,2888.9,2790.0,2834.3,115045.0,3088.0,0,230076.85,0,100.33214285714283,114.45890980128755,21437.75,True,0
2025-03-26,2834.3,2909.6,2790.0,2818.45,114784.0,3088.0,0,172526.55,0,98.44642857142854,114.82613052976701,21275.45,True,0
2025-03-27,2819.25,2850.85,2772.9,2836.9,77284.0,3088.0,0,168327.05,0,98.96428571428565,112.1921212062122,21407.95,True,0
2025-03-28,2836.9,2899.95,2809.4,2880.35,108168.0,3088.0,0,160652.5,0,99.01785714285704,110.64625540576846,21339.55,True,0
2025-04-01,2872.0,2878.0,2777.0,2797.35,79332.0,3088.0,0,155961.55,0,95.82142857142847,110.12509430535643,21070.75,True,0
2025-04-02,2808.95,2838.4,2753.65,2776.6,61863.0,3088.0,0,152778.2,0,96.90714285714274,108.31258756925955,21265.65,True,0
2025-04-03,2791.95,2887.5,2787.0,2856.75,166370.0,3088.0,0,146720.65,1,98.42142857142848,108.49740274288388,21243.4,True,0
