time,open,high,low,close,Volume,STR-001 Signal,Breakout,Volume OK,Market OK,Close,Prior 252 High,Volume,Volume SMA20,ATR14
2020-03-04,173.89999,174.7,157.5,167.45,1542210,0,0,0,0,167.45,233.95,1542210,1671450.9000000034,12.64999928571426
2020-03-05,169.7,177.60001,163.25,168.3,1019912,0,0,0,0,168.3,233.95,1019912,1606173.3000000033,13.007143571428546
2020-03-06,156.89999,161.5,154.10001,155.45,1073806,0,0,0,0,155.45,233.95,1073806,1570345.3000000033,13.41785714285712
2020-03-09,146.5,146.5,124.4,124.45,4325207,0,0,1,0,124.45,233.95,4325207,1450720.0500000033,15.096428571428547
2020-03-11,120.3,125.9,101,119.25,6853591,0,0,1,0,119.25,233.95,6853591,1637862.7000000034,16.189284999999977
2020-03-12,109,110.8,107.35,107.35,334708,0,0,0,0,107.35,233.95,334708,1509050.9500000034,16.717856428571405
2020-03-13,96.650002,105,96.650002,98.650002,4120020,0,0,1,0,98.650002,233.95,4120020,1625312.4000000034,16.94642771428569
2020-03-16,90.25,95.150002,88.800003,88.800003,1220796,0,0,0,0,88.800003,233.95,1220796,1622752.9500000034,17.36071264285712
2020-03-17,88.800003,94.699997,81.300003,82.949997,1264493,0,0,0,0,82.949997,233.95,1264493,1630389.5000000033,17.21428364285712
2020-03-18,86.400002,87.050003,78.849998,78.849998,1146343,0,0,0,0,78.849998,233.95,1146343,1645608.9000000034,16.832141142857118
2020-03-19,74.949997,74.949997,74.949997,74.949997,263555,0,0,0,0,74.949997,233.95,263555,1593041.0500000033,15.85356978571426
2020-03-20,74.5,78,71.25,71.949997,1512324,0,0,0,0,71.949997,233.95,1512324,1638247.0500000033,14.964284071428548
2020-03-23,68.400002,68.400002,68.400002,68.400002,39665,0,0,0,0,68.400002,233.95,39665,1615484.6000000034,12.953570142857117
2020-03-24,65,65.599998,65,65,388249,0,0,0,0,65,233.95,388249,1600134.1000000034,12.382142428571402
2020-03-25,61.75,66.849998,61.75,62.799999,683434,0,0,0,0,62.799999,233.95,683434,1585384.5500000033,11.517856571428547
2020-03-26,64,65.900002,63.049999,65.900002,581400,0,0,0,0,65.900002,233.95,581400,1563910.1000000034,10.714284642857118
2020-03-27,69,69,62.650002,63.049999,796345,0,0,0,0,63.049999,233.95,796345,1559245.6000000034,10.153570928571403
2020-03-30,62,65,59.900002,60.299999,1144546,0,0,0,0,60.299999,233.95,1144546,1564234.3000000033,8.299999357142832
2020-03-31,63.299999,63.299999,60.200001,62.049999,635592,0,0,0,0,62.049999,233.95,635592,1507665.8000000033,6.742856357142832
2020-04-01,63,65.150002,60.200001,61.25,643017,0,0,0,0,61.25,233.95,643017,1479460.6500000034,6.246427857142832
2020-04-03,63.900002,64.300003,61.25,64.300003,465068,0,0,0,0,64.300003,233.95,465068,1425603.5500000033,5.699999642857118
2020-04-07,67.5,67.5,62.200001,65.849998,1079973,0,0,0,0,65.849998,233.95,1079973,1428606.6000000034,5.3749996428571185
2020-04-08,65.150002,68.199997,63.700001,64.949997,952268,0,0,0,0,64.949997,233.95,952268,1422529.7000000034,4.739285499999975
2020-04-09,66.5,68.150002,65.199997,68.150002,704629,0,0,0,0,68.150002,233.95,704629,1241500.8000000033,4.382142642857119
2020-04-13,70.900002,71.550003,66.449997,68.050003,1495730,0,0,1,0,68.050003,233.95,1495730,973607.7500000034,4.4678572857142616
2020-04-15,70.400002,71.449997,67,67.650002,1363639,0,0,1,0,67.650002,233.95,1363639,1025054.3000000033,4.303571357142833
2020-04-16,67.650002,69.400002,66.150002,68,1324716,0,0,1,0,68,233.95,1324716,885289.1000000034,4.282143142857119
2020-04-17,69.449997,70.900002,67.099998,67.75,1571920,0,0,1,0,67.75,233.95,1571920,902845.3000000033,4.31071471428569
2020-04-20,69,71.099998,68,70.550003,2023887,0,0,1,0,70.550003,233.95,2023887,940815.0000000034,4.18571471428569
2020-04-21,68.900002,68.900002,67.050003,67.050003,506839,0,0,0,0,67.050003,233.95,506839,908839.8000000033,4.214285928571405
2020-04-22,64.199997,66.5,63.75,65.099998,483166,0,0,0,0,65.099998,233.95,483166,919820.3500000034,3.996429142857118
2020-04-23,66.449997,68.349998,64.650002,68.349998,1612426,0,0,1,0,68.349998,233.95,1612426,924825.4500000033,3.8964289999999755
2020-04-24,68.25,68.25,64.949997,65.050003,560938,0,0,0,0,65.050003,233.95,560938,950889.1000000034,3.9178577857142614
2020-04-27,65.449997,67.849998,65.449997,66,1722433,0,0,1,0,66,233.95,1722433,1017598.3000000033,3.764285928571404
2020-04-28,66.699997,66.699997,65.050003,65.400002,265606,0,0,0,0,65.400002,233.95,265606,996706.9000000034,3.6642852857142603
2020-04-29,65.5,66.5,64.800003,65.199997,962782,0,0,0,0,65.199997,233.95,962782,1015776.0000000034,3.40714228571426
2020-04-30,66.5,66.900002,64.800003,65.150002,910139,0,0,0,0,65.150002,233.95,910139,1021465.7000000033,3.235713928571403
2020-05-04,63.5,63.5,61.900002,61.900002,376705,0,0,0,0,61.900002,233.95,376705,983073.6500000034,3.239284999999974
2020-05-05,61.099998,63.450001,60.099998,60.799999,400570,0,0,0,0,60.799999,233.95,400570,971322.5500000033,3.114284785714259
2020-05-06,62.150002,62.299999,59.549999,59.849998,497016,0,0,0,0,59.849998,233.95,497016,964022.5000000034,2.9928564285714025
2020-05-07,59.849998,61.5,59.549999,60.799999,337808,0,0,0,0,60.799999,233.95,337808,957659.5000000034,2.899999357142831
2020-05-08,61.400002,63.799999,61.25,62.75,490658,0,0,0,0,62.75,233.95,490658,928193.7500000034,2.842856214285688
2020-05-11,63.5,65.099998,60.400002,60.75,591535,0,0,0,0,60.75,233.95,591535,910157.1000000034,2.9392846428571167
2020-05-12,60.650002,61.900002,59.450001,60.900002,314631,0,0,0,0,60.900002,233.95,314631,890657.2000000033,2.864284714285688
2020-05-13,63.75,63.75,60.700001,61.400002,526903,0,0,0,0,61.400002,233.95,526903,842215.8500000034,2.846427285714259
2020-05-14,60.950001,61.400002,59.599998,61.150002,242407,0,0,0,0,61.150002,233.95,242407,786154.2500000034,2.710713571428545
2020-05-15,61.849998,61.849998,60.200001,60.349998,536052,0,0,0,0,60.349998,233.95,536052,746721.0500000033,2.585713285714259
2020-05-18,60.299999,60.700001,57.349998,57.349998,380683,0,0,0,0,57.349998,233.95,380683,687159.2000000033,2.6249995714285452
2020-05-19,57.549999,58.549999,56.25,57.099998,241766,0,0,0,0,57.099998,233.95,241766,598053.1500000034,2.671428499999974
2020-05-20,56.549999,58.799999,56.549999,57.049999,244511,0,0,0,0,57.049999,233.95,244511,584936.7500000034,2.710714428571403
2020-05-21,57.049999,58,55.5,56.150002,1416693,0,0,1,1,56.150002,233.95,1416693,631613.1000000034,2.739285928571403
